SETTLED_PRICE,SETTLED_TIMESTAMP,MARKET_SYMBOL
1646.32,2023-08-29 08:01:11.000,ETH
1627.48,2023-09-15 07:56:57.000,ETH
1814.652,2023-06-06 07:41:28.000,ETH
1729.6779,2023-06-20 07:59:05.000,ETH
1918.905,2023-04-21 09:09:03.000,ETH
1889.56084959,2023-07-21 08:00:59.000,ETH
1841.32,2023-08-15 07:48:43.000,ETH
1886.59144152,2023-06-02 07:49:54.000,ETH
1921.2833,2023-04-21 08:49:01.000,ETH
1828.35,2023-08-08 07:56:25.000,ETH
1797.00424337,2023-03-31 08:01:39.000,ETH
1806.78,2023-05-19 07:51:49.000,ETH
2113.02,2023-04-14 08:02:32.000,ETH
1861.08,2023-04-26 07:42:28.000,ETH
1645.55,2023-09-01 07:59:11.000,ETH
1882.8104,2023-07-11 08:14:53.000,ETH
1895.27888329,2023-05-05 07:42:41.000,ETH
1854.5944,2023-07-07 07:49:19.000,ETH
1889.6205,2023-06-30 07:52:31.000,ETH
1689.75,2023-08-18 07:59:49.000,ETH
1860.4456,2023-07-28 08:21:51.000,ETH
1992.83,2023-07-14 07:58:53.000,ETH
1877.23744069,2023-06-27 07:51:59.000,ETH
1900.18696722,2023-05-30 07:42:29.000,ETH
1651.14,2023-08-25 07:40:59.000,ETH
1645.7,2023-09-08 07:55:11.000,ETH
1854.33,2023-05-23 08:00:28.000,ETH
1665.57929452,2023-08-22 07:53:43.000,ETH
1952.0509,2023-07-04 07:45:21.000,ETH
1850.3,2023-07-25 07:57:01.000,ETH
1625.02,2023-09-05 07:52:45.000,ETH
1836.37,2023-08-04 07:57:55.000,ETH
1814.62,2023-06-06 08:01:29.000,ETH
1749.78,2023-06-13 07:48:03.000,ETH
1816.22,2023-05-26 07:53:07.000,ETH
1579.02,2023-09-12 07:56:55.000,ETH
1879.8,2023-06-23 07:46:29.000,ETH
1817.74,2023-04-25 07:52:09.000,ETH
1596.82,2023-09-22 07:55:29.000,ETH
1847.20613551,2023-08-11 07:53:15.000,ETH
1669.8421,2023-06-16 08:00:57.000,ETH
1833.4765,2023-08-01 07:46:21.000,ETH
1761.62469453,2023-05-12 07:53:00.000,ETH
1650.85,2023-08-25 08:01:11.000,ETH
1835.53468517,2023-06-09 07:46:45.000,ETH
1851.005,2023-04-07 07:58:24.000,ETH
1897.1,2023-07-18 08:01:45.000,ETH
1863.0584,2023-04-26 08:02:28.000,ETH
1636.5,2023-09-19 08:00:07.000,ETH
1822.9452,2023-05-16 08:00:06.000,ETH
﻿
